hash,user_id,id_user_post,name,timestamp,platform,img_id,party,image_url
01948ebc7c5bd6c3,112008873578847,fb_112008873578847_558309462282117,Grüne Gauting,1630766402,fb,fb_112008873578847_558309462282117,DIE GRÜNEN,https://raw.githubusercontent.com/nicolarighetti/polarvis-german-election-2021/main/data/top_images_normalized/01948ebc7c5bd6c3.jpg
01948ebc7c5bd6c3,205756739465079,fb_205756739465079_6289353701105322,Grünes Tutzing am Starnberger See,1630766401,fb,fb_205756739465079_6289353701105322,DIE GRÜNEN,https://raw.githubusercontent.com/nicolarighetti/polarvis-german-election-2021/main/data/top_images_normalized/01948ebc7c5bd6c3.jpg
01948ebc7c5bd6c3,318395464949669,fb_318395464949669_4082414175214427,GAL Utting,1630766401,fb,fb_318395464949669_4082414175214427,NA,https://raw.githubusercontent.com/nicolarighetti/polarvis-german-election-2021/main/data/top_images_normalized/01948ebc7c5bd6c3.jpg
01948ebc7c5bd6c3,105032246247030,fb_105032246247030_4310899688993577,Grüne Landsberg,1630766402,fb,fb_105032246247030_4310899688993577,DIE GRÜNEN,https://raw.githubusercontent.com/nicolarighetti/polarvis-german-election-2021/main/data/top_images_normalized/01948ebc7c5bd6c3.jpg
01948ebc7c5bd6c3,636864479726453,fb_636864479726453_4419006584845538,Pöcking Bündnis 90/Die Grünen,1630766402,fb,fb_636864479726453_4419006584845538,DIE GRÜNEN,https://raw.githubusercontent.com/nicolarighetti/polarvis-german-election-2021/main/data/top_images_normalized/01948ebc7c5bd6c3.jpg
01948ebc7c5bd6c3,105977040881455,fb_105977040881455_387243829421440,Grüne Seefeld,1630766402,fb,fb_105977040881455_387243829421440,DIE GRÜNEN,https://raw.githubusercontent.com/nicolarighetti/polarvis-german-election-2021/main/data/top_images_normalized/01948ebc7c5bd6c3.jpg
01948ebc7c5bd6c3,564268883657442,fb_564268883657442_4291739140910379,GRÜNE Dießen am Ammersee,1630766401,fb,fb_564268883657442_4291739140910379,DIE GRÜNEN,https://raw.githubusercontent.com/nicolarighetti/polarvis-german-election-2021/main/data/top_images_normalized/01948ebc7c5bd6c3.jpg
01948ebc7c5bd6c3,611581568906256,fb_611581568906256_4536490596415314,Bündnis 90/ Die Grünen OV Krailling,1630766402,fb,fb_611581568906256_4536490596415314,DIE GRÜNEN,https://raw.githubusercontent.com/nicolarighetti/polarvis-german-election-2021/main/data/top_images_normalized/01948ebc7c5bd6c3.jpg
01948ebc7c5bd6c3,106640864088837,fb_106640864088837_552240172862235,Grün machts,1630766401,fb,fb_106640864088837_552240172862235,DIE GRÜNEN,https://raw.githubusercontent.com/nicolarighetti/polarvis-german-election-2021/main/data/top_images_normalized/01948ebc7c5bd6c3.jpg
01948ebc7c5bd6c3,260750027418707,fb_260750027418707_1880602412100119,GRÜNE Germering,1630766401,fb,fb_260750027418707_1880602412100119,DIE GRÜNEN,https://raw.githubusercontent.com/nicolarighetti/polarvis-german-election-2021/main/data/top_images_normalized/01948ebc7c5bd6c3.jpg
01948ebc7c5bd6c3,100323591459127,fb_100323591459127_388077872683696,Martina Neubauer,1630766401,fb,fb_100323591459127_388077872683696,NA,https://raw.githubusercontent.com/nicolarighetti/polarvis-german-election-2021/main/data/top_images_normalized/01948ebc7c5bd6c3.jpg
01d47e25fce92a5a,896624643805266,fb_896624643805266_2529160390551675,Christian Hartmann,1631775448,fb,fb_896624643805266_2529160390551675,NA,https://raw.githubusercontent.com/nicolarighetti/polarvis-german-election-2021/main/data/top_images_normalized/01d47e25fce92a5a.jpg
01d47e25fce92a5a,1095612560481252,fb_1095612560481252_6154328447942946,CDU - Ortsunion Hagen,1631707247,fb,fb_1095612560481252_6154328447942946,CDU/CSU,https://raw.githubusercontent.com/nicolarighetti/polarvis-german-election-2021/main/data/top_images_normalized/01d47e25fce92a5a.jpg
01d47e25fce92a5a,703294609702812,fb_703294609702812_4572419696123598,CDU Lindlar,1631603288,fb,fb_703294609702812_4572419696123598,CDU/CSU,https://raw.githubusercontent.com/nicolarighetti/polarvis-german-election-2021/main/data/top_images_normalized/01d47e25fce92a5a.jpg
01d47e25fce92a5a,78502295414,fb_78502295414_10158471212065415,CDU,1631554325,fb,fb_78502295414_10158471212065415,NA,https://raw.githubusercontent.com/nicolarighetti/polarvis-german-election-2021/main/data/top_images_normalized/01d47e25fce92a5a.jpg
01d47e25fce92a5a,1882871408707310,fb_1882871408707310_3002005680127205,CDU Wiesbaden-Sonnenberg,1631699798,fb,fb_1882871408707310_3002005680127205,CDU/CSU,https://raw.githubusercontent.com/nicolarighetti/polarvis-german-election-2021/main/data/top_images_normalized/01d47e25fce92a5a.jpg
01d47e25fce92a5a,242039365895748,fb_242039365895748_3842233595876289,CDU Wermelskirchen,1631601903,fb,fb_242039365895748_3842233595876289,CDU/CSU,https://raw.githubusercontent.com/nicolarighetti/polarvis-german-election-2021/main/data/top_images_normalized/01d47e25fce92a5a.jpg
01d47e25fce92a5a,1795581990678940,fb_1795581990678940_2976786792558448,CDU OV Niederlinxweiler,1631569752,fb,fb_1795581990678940_2976786792558448,CDU/CSU,https://raw.githubusercontent.com/nicolarighetti/polarvis-german-election-2021/main/data/top_images_normalized/01d47e25fce92a5a.jpg
01d47e25fce92a5a,457640604322700,fb_457640604322700_4515564965196890,CDU Rödermark,1631697957,fb,fb_457640604322700_4515564965196890,CDU/CSU,https://raw.githubusercontent.com/nicolarighetti/polarvis-german-election-2021/main/data/top_images_normalized/01d47e25fce92a5a.jpg
01d47e25fce92a5a,231948263510688,fb_231948263510688_4396110093761130,CDU Castrop-Rauxel,1632243644,fb,fb_231948263510688_4396110093761130,CDU/CSU,https://raw.githubusercontent.com/nicolarighetti/polarvis-german-election-2021/main/data/top_images_normalized/01d47e25fce92a5a.jpg
01d47e25fce92a5a,562346783854479,fb_562346783854479_4292251114197342,CDU Marl,1631710811,fb,fb_562346783854479_4292251114197342,CDU/CSU,https://raw.githubusercontent.com/nicolarighetti/polarvis-german-election-2021/main/data/top_images_normalized/01d47e25fce92a5a.jpg
01d47e25fce92a5a,100057728002576,fb_100057728002576_288205336447064,Beate Meißner - Die wähl' ich.,1631797561,fb,fb_100057728002576_288205336447064,NA,https://raw.githubusercontent.com/nicolarighetti/polarvis-german-election-2021/main/data/top_images_normalized/01d47e25fce92a5a.jpg
01d47e25fce92a5a,246401866247567,fb_246401866247567_863168931237521,CDU Kreisverband Biberach an der Riß,1631748594,fb,fb_246401866247567_863168931237521,CDU/CSU,https://raw.githubusercontent.com/nicolarighetti/polarvis-german-election-2021/main/data/top_images_normalized/01d47e25fce92a5a.jpg
01d47e25fce92a5a,244323896014944,fb_244323896014944_1305716303209026,CDU Oberberg,1631603262,fb,fb_244323896014944_1305716303209026,CDU/CSU,https://raw.githubusercontent.com/nicolarighetti/polarvis-german-election-2021/main/data/top_images_normalized/01d47e25fce92a5a.jpg
01d47e25fce92a5a,806189502798604,fb_806189502798604_4326326374118215,CDU Rumeln-Kaldenhausen,1631694446,fb,fb_806189502798604_4326326374118215,CDU/CSU,https://raw.githubusercontent.com/nicolarighetti/polarvis-german-election-2021/main/data/top_images_normalized/01d47e25fce92a5a.jpg
01fede1cd4a5e40b,120133508052257,fb_120133508052257_4204183512980549,Grüne Ökonomie: nachhaltiges Wirtschaften und erneuerbare Energie,1629105710,fb,fb_120133508052257_4204183512980549,DIE GRÜNEN,https://raw.githubusercontent.com/nicolarighetti/polarvis-german-election-2021/main/data/top_images_normalized/01fede1cd4a5e40b.jpg
01fede1cd4a5e40b,186879758031979,fb_186879758031979_4112244502162132,Umweltschutz - Wir sind aktiv!,1629105658,fb,fb_186879758031979_4112244502162132,NA,https://raw.githubusercontent.com/nicolarighetti/polarvis-german-election-2021/main/data/top_images_normalized/01fede1cd4a5e40b.jpg
01fede1cd4a5e40b,453125021538629,fb_453125021538629_1931811923669924,Energiewirtschaft Deutschland,1629105644,fb,fb_453125021538629_1931811923669924,NA,https://raw.githubusercontent.com/nicolarighetti/polarvis-german-election-2021/main/data/top_images_normalized/01fede1cd4a5e40b.jpg
01fede1cd4a5e40b,1614415435261018,fb_1614415435261018_4237626446273224,Regenerative Agriculture,1629105483,fb,fb_1614415435261018_4237626446273224,NA,https://raw.githubusercontent.com/nicolarighetti/polarvis-german-election-2021/main/data/top_images_normalized/01fede1cd4a5e40b.jpg
01fede1cd4a5e40b,120133508052257,fb_120133508052257_4204183109647256,Grüne Ökonomie: nachhaltiges Wirtschaften und erneuerbare Energie,1629105699,fb,fb_120133508052257_4204183109647256,DIE GRÜNEN,https://raw.githubusercontent.com/nicolarighetti/polarvis-german-election-2021/main/data/top_images_normalized/01fede1cd4a5e40b.jpg
01fede1cd4a5e40b,641166192586702,fb_641166192586702_4233745693328716,Carbon Farming and Regenerative Food,1629105598,fb,fb_641166192586702_4233745693328716,NA,https://raw.githubusercontent.com/nicolarighetti/polarvis-german-election-2021/main/data/top_images_normalized/01fede1cd4a5e40b.jpg
01fede1cd4a5e40b,470603699659937,fb_470603699659937_4259653780754891,Zero Waste Germany,1629105627,fb,fb_470603699659937_4259653780754891,NA,https://raw.githubusercontent.com/nicolarighetti/polarvis-german-election-2021/main/data/top_images_normalized/01fede1cd4a5e40b.jpg
01fede1cd4a5e40b,1569257479972119,fb_1569257479972119_3129151283982723,>Nachhaltigkeit< >sustainability<,1629105507,fb,fb_1569257479972119_3129151283982723,NA,https://raw.githubusercontent.com/nicolarighetti/polarvis-german-election-2021/main/data/top_images_normalized/01fede1cd4a5e40b.jpg
01fede1cd4a5e40b,170240699692285,fb_170240699692285_4098694533513529,Linksammlung Erneuerbare Energien,1629105672,fb,fb_170240699692285_4098694533513529,DIE LINKE,https://raw.githubusercontent.com/nicolarighetti/polarvis-german-election-2021/main/data/top_images_normalized/01fede1cd4a5e40b.jpg
